region,country,gdp_per_capita,gdp_growth,exports_gdp_pct,imports_gdp_pct,agriculture_land_pct,unemployment_rate,industry_value_added_pct,household_consumption_pct,population_total,urban_population_pct,life_expectancy,infant_mortality,population_65plus_pct,health_expenditure_pc,health_expenditure_gdp,hospital_beds_per_1k,maternal_mortality,access_to_safe_water,primary_enrollment,secondary_enrollment,tertiary_enrollment,adult_literacy_rate,control_of_corruption,government_effectiveness,political_stability,regulatory_quality,rule_of_law,voice_and_accountability,electricity_access_pct,internet_users_pct,air_passengers,co2_emissions_pc
Middle East & North Africa,Afghanistan,507.0536911897187,-1.2879161321475845,14.998950114598838,44.64898630700853,58.371280069913986,11.432272727272727,14.804419378440148,94.11604330936115,37760316.36363637,25.82390909090909,62.8489,58.01,2.366242930538581,70.63518185222222,14.804846233333333,0.40625,645.3,70.93379338306501,107.7822596232095,54.7546157836914,9.749306678771964,35.66885170027917,-1.369637835025788,-1.560715222358705,-2.6087239980697623,-1.2336723685264581,-1.650696420669556,-1.2549427747726438,91.35,14.26234,1329881.54689906,0.21280766991719413
Europe & Central Asia,Albania,4634.295747485348,3.2522628730200336,31.136809217801666,44.27702919718674,42.0975802919708,12.882818181818182,23.291176628336554,74.21564843249318,2829793.1818181816,61.097454545454546,78.5674,7.9399999999999995,14.359745766117973,345.51859198666665,6.75930431,2.8585714285714285,8.5,94.30112111879203,102.55288231809095,99.61399951106097,62.9488821224317,98.25,-0.5086892873048782,0.02479531317949291,0.25903229489922514,0.2117772340774536,-0.3197205811738968,0.14892114177346222,99.98,68.44611,187315.2857142857,1.7203566153402077
Sub-Saharan Africa,Angola,2707.9783897997772,0.4661781796910973,38.39744796356834,26.279941189464218,36.784471003449106,15.93309090909091,45.30997251860847,52.177156617757525,32423964.363636363,66.10827272727273,62.5789,45.08,2.7340518074264355,90.86334737,2.7679947755555556,0.75,215.1,56.06604786874891,98.84742594458893,53.011952542622,9.642587579396485,66.1349983215332,-1.087604957818985,-1.046167355775834,-0.4545725852251052,-0.8268554925918582,-1.0230069518089289,-0.9474623620510096,44.44,31.6544,1141785.25,0.8885994344199235
Latin America & Caribbean,Argentina,12946.535461715875,-0.10731252217294808,14.574880988005733,14.088725345623153,43.16767589679503,8.305363636363637,23.373416148917947,66.13382452625797,44678667.90909091,91.986,76.216,9.129999999999999,11.623904938336036,1232.7736477322221,10.087403826666666,4.2225,42.2,98.98230998467034,109.2927478833283,110.1486502937189,94.86256444054824,99.1399993896484,-0.33399573117494574,-0.12052687592804434,-0.002455853752326194,-0.546684876084328,-0.46768178492784507,0.5164645940065385,99.96000000000001,79.59915454545454,13265952.72725,4.227157125919188
Europe & Central Asia,Armenia,4208.1350988477725,4.790909090954588,42.062309528842185,50.82431711899055,58.955775735472244,16.540636363636363,25.209405469935344,75.31106767519393,2982945.4545454546,63.33954545454546,74.95560975609757,11.01,12.072004980533,478.5756937677778,10.724574406666667,4.351428571428571,29.3,99.7356567214623,94.79158132156567,88.31939806192442,53.86723349036906,99.78599853515622,-0.2976896621985361,-0.2635519653558731,-0.5864909052848815,0.1773579705506563,-0.2162449046969413,-0.20458037815988067,99.91,68.97478,96213.4,2.158931160564476
Europe & Central Asia,Azerbaijan,5426.942709723083,1.497763446778004,46.92589823658635,35.034815520691645,57.79361191967452,5.448181818181818,48.380540389793296,54.19111850057959,9953614,56.10254545454546,72.5712,17.41,6.792421551396575,225.8775516088889,4.328342253333333,4.031666666666666,25.6,94.768773968312,102.12947850856446,92.54925071373208,33.215500722054216,99.79000091552732,-0.9599831521511085,-0.11920707486569877,-0.7603085398674012,-0.25588613003492355,-0.6296610236167908,-1.511447489261627,100,81.77,1797349.625,3.670610101121408
Middle East & North Africa,Bahrain,24390.21573872086,2.836838886100223,80.32627526476853,67.58237166858646,10.432309206163994,1.274,41.78391317333748,41.30107519432963,1478505.8181818181,89.41909090909091,80.1291,6.58,3.0794486077260927,1098.47639974,4.433173392222223,1.835,13.8,99.92442176526046,98.2912737579765,101.71611923425841,50.611818484171735,97.84666697184244,0.03159610368311404,0.4238174706697464,-0.7072047054767604,0.6882515430450443,0.4314828068017958,-1.397792172431945,100,97.80697272727272,4563143.25,24.042641952612037
South Asia,Bangladesh,1547.417156635831,6.273059287541139,13.312997791142635,19.192739538535694,71.38611489268665,4.624727272727273,31.739494082352692,68.79696000633895,165195770.36363637,37.396181818181816,71.9448,26.73,5.624919686661611,45.31915558666667,2.3231439866666665,0.7966666666666666,170.8,97.67466175623997,106.59000651639985,64.69041145642407,20.48833834663048,72.30444547865126,-0.9614275932312012,-0.7394297063350678,-1.0440713346004487,-0.8892274022102356,-0.6489387214183807,-0.6720985949039459,87.35000000000001,28.15457,4274856.183190629,0.6301235039424737
Europe & Central Asia,Belarus,6235.924437158923,0.6970051014670003,63.980550902129444,62.734233291695155,41.21037614188627,4.595272727272727,32.04683275629885,53.587063008136305,9356283.636363637,78.98936363636363,73.54508292682928,2.53,15.560993733070754,402.4093594022222,6.0158439744444445,9.8533333333333335,1.3,98.57073879456374,97.22713214745382,100.56037425161944,83.05771505630844,99.870002746582,-0.28017736412584776,-0.5800695687532424,-0.21055676154792305,-1.0184026122093193,-0.9774412572383883,-1.470292055606843,99.02,79.63391818181819,1949235.875,6.34419917313517
Latin America & Caribbean,Belize,5963.814172128612,3.0294527326982794,50.15906550954334,50.27523323985806,7.645769399386234,8.318454545454545,15.070611997662272,62.18851154810544,384207.9090909091,45.95409090909091,72.0141,11.83,4.430585439632336,292.92508273666664,4.804228993333333,1,74.1,97.92283896106329,109.35440746417567,85.63348165929897,24.28808367751597,89.39999771118164,-0.2251906603574752,-0.5616771370172501,0.21687650384847085,-0.5023218244314194,-0.8234997868537902,0.5309889733791351,94.78999999999999,56.536030000000004,1038377.3422598676,0.659753931269301
